Chamber Pressure,OF,Adiabatic flame temperature,cp mass,cv mass,cp molar,cv molar,Isentropic exponent,Molecular weight,Specific gas constant,Specifc impulse,Vacuum specific Impulse,Characteristic velocityThrust coefficient,Vacuum thrust coefficient
bar,-,K,J/kg-K,J/mol-K,J/kg-K,J/mol-K,-,g/mol,J/kg-K,sec,sec,m/s,-,-
5.0,5.383838383838384,3074.1014867672066,1543.8147596217257,1221.2597554732506,39794.732504970045,31480.269886816805,1.2641166244141744,25.776883046979535,322.55500414847506,167.3029634222714,314.160093184102,1507.1629046266546,1.0885894293234597,2.0441440459862203
5.0,5.525252525252525,3073.7166685839748,1539.2954132091836,1218.1118326542953,39847.66017400858,31533.197555855342,1.2636733113863785,25.886947906206395,321.18358055488835,166.953933433384,313.68028655194945,1504.0484062695523,1.0885678841715876,2.0452485234463746
5.0,5.666666666666666,3072.615185506016,1534.9001384419548,1215.013674658629,39894.99797127422,31580.53535312098,1.2632780769921796,25.991917631703913,319.8864637833258,166.60215806371548,313.17599880643917,1500.9057957580076,1.0885487003868934,2.046235957896414
5.0,5.808080808080808,3070.9197382157186,1530.6285719794696,1211.971268399487,39937.4309046906,31622.968286537358,1.262924800190022,26.092176531790418,318.65730357998274,166.2497612979227,312.65362123650937,1497.7546465037567,1.0885315732039589,2.0471207629742607
5.0,5.949494949494949,3068.7284847306205,1526.4790750589075,1208.988489305764,39975.526130524806,31661.063512371566,1.2626084438036758,26.188060343363784,317.49058575314365,165.89832523841235,312.1181199238953,1494.6095735845533,1.0885162519716984,2.0479148634186837
5.0,6.090909090909091,3066.120755602487,1522.4491424845155,1206.0676649040129,40009.75840946969,31695.295791316446,1.262324815420437,26.279865312398517,316.38147758050263,165.54902798663886,311.57338079505183,1491.481491827213,1.088502528661114,2.048628234085905
5.0,6.232323232323232,3063.161273289531,1518.5356945254339,1203.209985279968,40040.52919336969,31726.066575216453,1.2620703892945957,26.367855123670953,315.3257092454661,165.20274376735708,311.02246284928043,1488.3785306730076,1.088490228647406,2.0492693037716165
5.0,6.373737373737374,3059.903303285192,1514.7352859534772,1200.4158043896343,40068.181102862305,31753.718484709065,1.2618421720327668,26.452266263567413,314.3194815638429,164.86011653143476,310.46778605423003,1485.3067066022375,1.088479204057045,2.0498452613020253
5.0,6.515151515151515,3056.3910340100224,1511.0442560293327,1197.6848628601126,40093.00903370884,31778.5464155556,1.2616376000786276,26.53331222678004,313.35939316922,164.52161454034362,309.9112722511351,1482.270422424817,1.0884693284189815,2.050362290201973
5.0,6.656565656565657,3052.661394056461,1507.4588361394603,1195.0164538636882,40115.26877433568,31800.80615618244,1.2614544605353288,26.611186861373422,312.44238227577216,164.18757131240292,309.35445191335936,1479.272841614155,1.0884604928282413,2.0508257506747674
